reaction_id,atom_count,charge,multiplicity,file,sha256,source
rxn9,16,0,1,rxn9.xyz,462d9135aada303708d71867b8b63450e471c07f0cc17de4d77dd8d54b34e262,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn9/ts_guess.xyz
rxn26,16,0,1,rxn26.xyz,667a0029c2804926e8efd8c9efcffebbffc9cc90b74487484b5a80faad7f5030,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn26/ts_guess.xyz
rxn31,16,0,1,rxn31.xyz,fe0685302a64c4a445acaa017c5f6e5e9fb4840e366b2d921140b8869b624fb7,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn31/ts_guess.xyz
rxn39,12,0,1,rxn39.xyz,f9d2381eecebc9d94befcdd7fbc87d5f4b20b8aab3a571b6497d4b7b7d0039f4,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn39/ts_guess.xyz
rxn53,15,0,1,rxn53.xyz,b28a125e0de63560721fd6349afb6797691a005cfaddd32bd09a67e4d50fb54f,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn53/ts_guess.xyz
rxn57,13,0,1,rxn57.xyz,29a3e87f5e3c5ca5084d79c44899a697f4e43ccbbb6a8bcb3832671d5e9e999c,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn57/ts_guess.xyz
rxn59,13,0,1,rxn59.xyz,5948778c67d8bdb2a023e0017e2bfa5a95d76ae3b84fd33a94944352ac30b6b3,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn59/ts_guess.xyz
rxn61,13,0,1,rxn61.xyz,5cb44b979399ba2231d135cee08b8a26b9cafdbc583fd82ef488dbbd7f561390,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn61/ts_guess.xyz
rxn64,11,0,1,rxn64.xyz,226ff40a3d0a8537d417aa6048b67baa7e6c36553bd0e0013c808d9e445ad016,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn64/ts_guess.xyz
rxn66,11,0,1,rxn66.xyz,f42b05f6f538444af28b5b128dcbea1e0a2b0e4a1f145a211e33432c216a2002,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn66/ts_guess.xyz
rxn72,11,0,1,rxn72.xyz,5f70cdadb1190844f8913f6aeb50448fe6f1f928c5a64560031e7bf73489e6ec,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn72/ts_guess.xyz
rxn74,13,0,1,rxn74.xyz,84308871ff3e7758f0be77a656b8a17f137d93d50a38ad30eb0417be981f9235,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn74/ts_guess.xyz
rxn78,13,0,1,rxn78.xyz,11974a9a3af3e29308835e2eeeb035d64b943eeb493b969ead176269c595dee5,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn78/ts_guess.xyz
rxn79,13,0,1,rxn79.xyz,ca9411ff8a3c944480f523c98cec98d759e8304bd3101d47ac04c307a9739a3d,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn79/ts_guess.xyz
rxn102,11,0,1,rxn102.xyz,be8b1c42372d0f1f42797ac645fbadf17c9260c4af8a8ad6f129071bb9967b8f,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn102/ts_guess.xyz
rxn123,10,0,1,rxn123.xyz,5c4add5ceee5769f928f407eb166a329b19ba7bf70769234e87ca9cd15f9b4e4,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn123/ts_guess.xyz
rxn124,10,0,1,rxn124.xyz,11dbe6543523bf4228e3d09dd40189923429f4264866c2342078b4dad3374593,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn124/ts_guess.xyz
rxn143,14,0,1,rxn143.xyz,7be854c085f5fc497759e43f270135e12681943046f5ee1f2fd4f57859520b93,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn143/ts_guess.xyz
rxn144,14,0,1,rxn144.xyz,d54283fd11ad92607243675aec24eb90bdf065bcfef920b959b4a340cddd3287,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn144/ts_guess.xyz
rxn148,11,0,1,rxn148.xyz,67d5bf30df0c166c2f53ed0cd71f3e466e0df61f365887fcddc413fe95a9b368,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn148/ts_guess.xyz
rxn160,11,0,1,rxn160.xyz,2d3d085332ff4b1db94cf1740c652acf3c4ec49bf707e56ae326b823eb3d33c8,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn160/ts_guess.xyz
rxn170,12,0,1,rxn170.xyz,8305a6a70fd7c5fa0fa44811e3c5ee88e8e2158c130093842e578921d102c7cd,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn170/ts_guess.xyz
rxn199,10,0,1,rxn199.xyz,c727aba302066707a1a000e519ece550182b5a66f19c8543b27a2e02239c362a,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn199/ts_guess.xyz
rxn220,14,0,1,rxn220.xyz,4348a272479f5ec50f04666c93fb7c51c3e69f31cdd47735bc1705d890c6aeaf,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn220/ts_guess.xyz
rxn233,13,0,1,rxn233.xyz,c98e1b69f228ff5d0506f359cebce678b647d366f0d80b4c04647b5553873ea2,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn233/ts_guess.xyz
rxn235,14,0,1,rxn235.xyz,e90e5f31322ae097078101b75664072486602b41c6f685c857b290f1f4b0920f,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn235/ts_guess.xyz
rxn263,9,0,1,rxn263.xyz,9cb6c872ed9896326a2dd22fa90a6e842d4bda2581d4cbe84c91a5484a9eb076,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn263/ts_guess.xyz
rxn282,8,0,1,rxn282.xyz,567a0279f860eaeedbbf6773dbc941481fb0faf7a1b900995ad729c1d8c5a46a,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn282/ts_guess.xyz
rxn288,12,0,1,rxn288.xyz,ea3bda0e334409df74c157d92c5a07d984c5c27966c607de0c0212067235342e,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn288/ts_guess.xyz
rxn293,12,0,1,rxn293.xyz,4edd2447d31d2c4b851bf88c8a5cf85c00917c44d981903d48e31f033b70ac53,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn293/ts_guess.xyz
rxn296,8,0,1,rxn296.xyz,c379121d9ce082d72879a41337602315440a7c18ae341aba07f48b9cc826cdf6,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn296/ts_guess.xyz
rxn298,8,0,1,rxn298.xyz,b07530f5711c16f8012b9776bf8ad3f914afc354ec36a4ac5f8c37f6114d8aae,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn298/ts_guess.xyz
rxn313,10,0,1,rxn313.xyz,dc852a4f840b2cf25f9626ae68bca1c45f4d488fbe2b44ad94c64b0233a9c637,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn313/ts_guess.xyz
rxn320,14,0,1,rxn320.xyz,2edb243c2aaec7d2f47accec2bb924b4a1af6d1d825277574793bc3fbb80b13e,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn320/ts_guess.xyz
rxn326,14,0,1,rxn326.xyz,75e4b9edd35f0a964baa1f31a5806f66c19044aed98b9292153d9370c61e34d2,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn326/ts_guess.xyz
rxn333,9,0,1,rxn333.xyz,8547edb01a149f6bd412a9e89162710cb27317fd243e0b34fed0843bdaeaecf8,Gaussian_GSM_eqV2/Gaussian_calcfc/rxn333/ts_guess.xyz
