reaction_id,atom_count,charge,multiplicity,file,sha256,source
rxn9,16,0,1,rxn9.xyz,6df23b77b0987a0115ab9171ff76b5fb1c306a1867840311971b6d64d9efd143,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn9/ts_guess.xyz
rxn26,16,0,1,rxn26.xyz,65fa46db818391fbb369c6960484a38f6c1f7daa42820bb68a12824770d7316d,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn26/ts_guess.xyz
rxn31,16,0,1,rxn31.xyz,cea23cc105f2fd9936080762a5aaa42c13d61975453507b65d4343dcacef6d54,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn31/ts_guess.xyz
rxn39,12,0,1,rxn39.xyz,e4d83ee5e5ed0be7a34827323704693540fe3285cdcea55692ed4d4354f5cdc7,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn39/ts_guess.xyz
rxn53,15,0,1,rxn53.xyz,ef4c07ce106c06084c429caf27df41625115f92edd0462668bbb2735f29ee7b1,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn53/ts_guess.xyz
rxn57,13,0,1,rxn57.xyz,dbf2d7b73cfa78b42b28cdee732b4d5d797e36be945186db8dac215a0fceda02,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn57/ts_guess.xyz
rxn59,13,0,1,rxn59.xyz,4881afc9fa4fb8298273f1de713530f52f67f16e0680ad3d3f6b8035bfbdb95d,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn59/ts_guess.xyz
rxn61,13,0,1,rxn61.xyz,cd76cca20e77c63db72c0382027e62d9058dfb258e1cbaf9994f178adaf32322,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn61/ts_guess.xyz
rxn64,11,0,1,rxn64.xyz,8b956c421ccb17aa503c9fe829a7e4db2371d55cc4fa418e06044780daa37574,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn64/ts_guess.xyz
rxn66,11,0,1,rxn66.xyz,1b1ee37d8e260be6f21995b62ccbde622c5f14e02cf8f25a4c1922b555d53f68,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn66/ts_guess.xyz
rxn72,11,0,1,rxn72.xyz,5e8cf4e0ea04fd6b4c368bd56c65b50bf2b54a13fccf81a963e9fa4039dc10b5,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn72/ts_guess.xyz
rxn74,13,0,1,rxn74.xyz,f4654dd3e40bffa90aba4f42ec48ed4f6fba1a258d3083f1c8e372608c13c410,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn74/ts_guess.xyz
rxn78,13,0,1,rxn78.xyz,a4cc1ba63c91893173e1367d560ca44deb67265f325f2e1ddb20db745ae64618,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn78/ts_guess.xyz
rxn79,13,0,1,rxn79.xyz,b0be8de0f68719cf81a7065fd8e55bb7016b1a566ee0cffdb07da57537ee3cc0,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn79/ts_guess.xyz
rxn102,11,0,1,rxn102.xyz,1df6a59791572b8a644b56a8570cd06afee16307476ee4b3e4ce3c625ad8f66b,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn102/ts_guess.xyz
rxn123,10,0,1,rxn123.xyz,424cba675eb70c8b7ef8cbeafb0593194302ca512e34d9287f852dc2e0d5baf5,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn123/ts_guess.xyz
rxn124,10,0,1,rxn124.xyz,d276455c54d3bca86aa39a5a46819c247b5966066d0cbab949646a128bd87764,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn124/ts_guess.xyz
rxn143,14,0,1,rxn143.xyz,4c7d3a941f36cc79d12f75788bd7fb1ff572a476aad2c60624056234fcf6bd9c,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn143/ts_guess.xyz
rxn144,14,0,1,rxn144.xyz,b4640d1a11ed2559260ee99133c095cdf39a6bb61ded9306f17c35dfe8411341,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn144/ts_guess.xyz
rxn148,11,0,1,rxn148.xyz,df46e2ff72fe3e3053369b73c296cdacc5dd4b924378aa167569508282d720f0,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn148/ts_guess.xyz
rxn160,11,0,1,rxn160.xyz,a0c87de1902debbe2c8e070260f399498560a7af02cd3a7c5e332bc360c259c3,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn160/ts_guess.xyz
rxn164,11,0,1,rxn164.xyz,69dcf221f1df8c6eae3467d7d57416f505861a919164dc817b503fa93f20bffc,Gaussian_ReactOT_exact/Gaussian_calcfc/rxn164/ts_guess.xyz
